Órgão/Secretaria;Número do Processo;Modalidade de Contratação;Empresa Contratada;Data da Assinatura;Data da Publicação;Prazo Contratual;Período do Prazo Contratual;Status da Licitação;licitacaoLink
Fundação para o Remédio Popular Chopin Tavares de Lima - FURP;87701050200;PREGÃO ELETRÔNICO;Joint Bill Representações Comerciais Ltda.;30/04/2020 00:00;05/05/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1390826
Penitenciária Gilmar Monteiro de Souza de Balbinos;008/2020-PEBII;PREGÃO ELETRÔNICO;VITOR LOLI COMERCIO DE PRODUTOS ALIMENTÍCIOS;13/04/2020 00:00;05/05/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1403538
Defensoria Pública do Estado de São Paulo;43282;PREGÃO ELETRÔNICO;CONSISTE ELEVADORES E SERVIÇOS LTDA. - EPP;17/04/2020 00:00;05/05/2020 00:00;24;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1216459
Penitenciária de Osvaldo Cruz;2020NE00257;CONVITE;Comercial Discon LTDA;04/05/2020 00:00;05/05/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1408530
Departamento Regional de Saude de Franca - DRS VIII;2020CT00365;PREGÃO ELETRÔNICO;BMD – COMERCIO DE PROD MEDICOS LTDA;24/03/2020 00:00;05/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397834
Delegacia Seccional de Polícia de Jundiaí;003/2020;PREGÃO ELETRÔNICO;COMERCIAL SANDALO LTDA - ME;20/03/2020 00:00;05/05/2020 00:00;10;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397584
Fundação para o Remédio Popular Chopin Tavares de Lima - FURP;87895050100;PREGÃO ELETRÔNICO;Joint Bill Representações Comerciais Ltda.;30/04/2020 00:00;05/05/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1398766
Unesp Botucatu-Administração Geral;03/2020-AG;PREGÃO ELETRÔNICO;ALKASERV SERVIÇOS EIRELI;04/05/2020 00:00;05/05/2020 00:00;24;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380408
Companhia de Saneamento Básico do Estado de São Paulo;00.971/19;CONCORRÊNCIA;CONSÓRCIO GERENCIADOR PRÓBILLINGS CHN;03/03/2020 00:00;05/05/2020 00:00;1140;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1348222
Penitenciária Gilmar Monteiro de Souza de Balbinos;009/2020-PEBII;PREGÃO ELETRÔNICO;CLAUDENICE DE OLIVEIRA RAMIRES ME;13/04/2020 00:00;05/05/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1404035
Departamento Regional de Saude de Franca - DRS VIII;2020CT00366;PREGÃO ELETRÔNICO;QUARTILE DISTR DE PROD MEDICOS EIRELI;24/03/2020 00:00;05/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397834
Delegacia Seccional de Polícia de Jundiaí;004/2020;PREGÃO ELETRÔNICO;IRINEU VALENTIM TONELOTTO - EPP;20/03/2020 00:00;05/05/2020 00:00;10;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397584
Fundação para o Remédio Popular Chopin Tavares de Lima - FURP;87885050100;PREGÃO ELETRÔNICO;Joint Bill Representações Comerciais Ltda.;30/04/2020 00:00;05/05/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1398724
Centro Regional de Administração de Marilia;23728-55942/2019;PREGÃO ELETRÔNICO;JCR SERVIÇOS TERCEIRIZADOS EIRELI;24/04/2020 00:00;05/05/2020 00:00;40;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1300164
Comando de  Policiamento do Interior 7- Sorocaba;22BPMI-042/42/2020;PREGÃO PRESENCIAL;J.FERNADES & V. FERNANDES LTDA;15/04/2020 00:00;05/05/2020 00:00;20;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1321763
Centro Regional de Administração de Campinas;23704-SAAC-00086/201;PREGÃO ELETRÔNICO;RECANTO DE EDUCAÇÃO INFANTIL ABELINHA S/C LTDA ME;30/04/2020 00:00;05/05/2020 00:00;40;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1089463
Penitenciária Gilmar Monteiro de Souza de Balbinos;010/2020-PEBII;PREGÃO ELETRÔNICO;BELARIS ALIMENTOS LTDA - EPP;13/04/2020 00:00;05/05/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1404040
Fundação para o Remédio Popular Chopin Tavares de Lima - FURP;87522050100;PREGÃO ELETRÔNICO;Rita de Cássia Amaral 2685229382;30/04/2020 00:00;05/05/2020 00:00;150;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389977
Penitenciária Gilmar Monteiro de Souza de Balbinos;012/2020-PEBII;PREGÃO ELETRÔNICO;RODRIGO PAPILE LANEZA - ME;13/04/2020 00:00;05/05/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1404040
Unesp Botucatu-Administração Geral;01/2020-FMVZ;PREGÃO ELETRÔNICO;ALKASERV SERVIÇOS EIRELI;30/04/2020 00:00;05/05/2020 00:00;27;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380408
Fundação para o Remédio Popular Chopin Tavares de Lima - FURP;1047;PREGÃO ELETRÔNICO;Antibióticos do Brasil Ltda.;30/04/2020 00:00;05/05/2020 00:00;6;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401786
Comando de  Policiamento do Interior 7- Sorocaba;22BPMI-038/42/2020;PREGÃO PRESENCIAL;J.FERNADES & V. FERNANDES LTDA;15/04/2020 00:00;06/05/2020 00:00;20;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1321763
Unesp Ilha Solteira- Faculdade de Engenharia;43831;PREGÃO ELETRÔNICO;ÁGIL EIRELI;30/04/2020 00:00;05/05/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1397581
Delegacia Seccional de Polícia de Jundiaí;005/2020;PREGÃO ELETRÔNICO;Telefõnica do Brasil S.A.;27/04/2020 00:00;05/05/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1405162
Escola Superior de Agricultura Luiz de Queiroz;14/2020;PREGÃO ELETRÔNICO;EMBRATOP GEO TECNOLOGIA LTDA EPP;06/04/2020 00:00;05/05/2020 00:00;20;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1405710
"UGA III - Hospital Infantil ""Darcy Vargas""";2020CT00395;PREGÃO ELETRÔNICO;POLITEC IMPORTAÇÃO E COMERCIO LTDA;28/04/2020 00:00;05/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389802
Unesp Botucatu-Administração Geral;01/2020-IBB;PREGÃO ELETRÔNICO;ALKASERV SERVIÇOS EIRELI;29/04/2020 00:00;05/05/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380408
Comando de  Policiamento do Interior 7- Sorocaba;50BPMI-034/42/2020;PREGÃO PRESENCIAL;W.J.M. AUTO MECANICA LTDA - ME;06/05/2020 00:00;06/05/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1321763
Usp - Faculdade de Medicina de Ribeirão Preto;008/2020;PREGÃO PRESENCIAL;Cobe Construtora Brasil Eireli;04/05/2020 00:00;05/05/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396710
Unesp Presidente Prudente - Faculdade de Ciências e Tecnologia;03/2017-FCT;PREGÃO PRESENCIAL;PRUDENTE SERVIÇOS DE LIMPEZA EIRELI - EPP;24/04/2020 00:00;05/05/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1131574
Comando de  Policiamento do Interior 7- Sorocaba;12BPMI-010/42/2020;PREGÃO PRESENCIAL;W.J.M. AUTO MECANICA LTDA - ME;03/04/2020 00:00;06/05/2020 00:00;25;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1321763
Fundação para o Desenvolvimento da Educação;23/00017/17/05;PREGÃO ELETRÔNICO;REDE NACIONAL DE APRENDIZAGEM, PROMOÇÃO SOCIAL E I;08/04/2020 00:00;05/05/2020 00:00;60;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1174330
Penitenciária III de Hortolândia;107/2019;PREGÃO ELETRÔNICO;Gabriela P. dos Santos - ME;30/10/2019 00:00;05/05/2020 00:00;61;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1365950
"Hospital Geral ""Dr. Alvaro Simões de Souza"" de Vila Nova Cachoeirinha";2020NE00363;PREGÃO ELETRÔNICO;PROVIP DISTRIBUIDORA HOSPITALAR LTDA;30/04/2020 00:00;06/05/2020 00:00;5;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1406150
Universidade Estadual Paulista - Reitoria;28/2015;PREGÃO ELETRÔNICO;ANA NATALIA ARAUJO PRESTAÇÃO DE SERIVÇOS EIRELI;16/04/2020 00:00;06/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=990926
Hospital Geral de São Mateus;2020NE00607;PREGÃO ELETRÔNICO;KORS DO BRASIL PROD PARAMED.LTD;30/04/2020 00:00;06/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1403828
"Hospital Geral ""Dr. Alvaro Simões de Souza"" de Vila Nova Cachoeirinha";2020NE00364;PREGÃO ELETRÔNICO;QUALITY MEDICAL COM E DIST DE MEDICAMENTO;30/04/2020 00:00;06/05/2020 00:00;5;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1406150
Penitenciária de Capela do Alto;232020;PREGÃO ELETRÔNICO;LEONDENIS DE OLIVEIRA ALHOS -ME;03/04/2020 00:00;06/05/2020 00:00;91;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401351
Hospital das Clinicas da Faculdade de Medicina de Ribeirão Preto - USP;20/2020;PREGÃO ELETRÔNICO;NEWCARE COMERCIO DE MATERIAI CIRURGICOS E HOSPITAL;05/05/2020 00:00;06/05/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1387329
EMAE - EMPRESA METROPOLITANA DE AGUAS E ENERGIA SA;ASL/GPT/5503/01/02/2;PREGÃO ELETRÔNICO;D. Rodrigues Mekaru Comercio Materiais Ferroviário;04/05/2020 00:00;06/05/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396398
Hospital Geral de São Mateus;2020NE00614;PREGÃO ELETRÔNICO;VIVA CARE MATERIAL MEDICO HOSPITALAR LTDA;04/05/2020 00:00;06/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1405397
"Hospital Geral ""Dr. Alvaro Simões de Souza"" de Vila Nova Cachoeirinha";2020NE00365;PREGÃO ELETRÔNICO;CIRURGICA SAO JOSE LTDA;30/04/2020 00:00;06/05/2020 00:00;5;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1405433
Penitenciária de Capela do Alto;242020;PREGÃO ELETRÔNICO;OVIDIO LEITE FERREIRA;03/04/2020 00:00;06/05/2020 00:00;91;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401351
Hospital Geral de São Mateus;2020NE00615;PREGÃO ELETRÔNICO;LICITATRADE SERV. E COM. PROD. HOSPITALAR;04/05/2020 00:00;06/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1405397
"Hospital Geral ""Dr. Alvaro Simões de Souza"" de Vila Nova Cachoeirinha";2020NE00366;PREGÃO ELETRÔNICO;CRISTALIA PRODUTOS QUIM.E FARMACEUTICO LTDA;30/04/2020 00:00;06/05/2020 00:00;5;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1405433
Penitenciária de Capela do Alto;262020;PREGÃO ELETRÔNICO;M&M TRANSPORTES E COMERCIO LTDA-ME;03/04/2020 00:00;06/05/2020 00:00;91;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401351
Sabesp - Unidade de Negócios de Baixo do Parapanema - Presidente Prudente;00518/20-01;PREGÃO ELETRÔNICO;MULTILACRES IND. E COM. DE PROD. P/ INSTL, PREDIAI;05/05/2020 00:00;06/05/2020 00:00;12;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396235
"Hospital Geral ""Dr. Alvaro Simões de Souza"" de Vila Nova Cachoeirinha";2020NE00367;PREGÃO ELETRÔNICO;PROATIVA HOSPITALAR EIRELI;30/04/2020 00:00;06/05/2020 00:00;5;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1405433
Hospital Geral de São Mateus;2020NE00616;PREGÃO ELETRÔNICO;SC COMERCIO DE PRODUTOS HOSPITALARES EIRE;04/05/2020 00:00;06/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1405397
Instituto da Assistência Médica ao Servidor Público Estadual;122/2020;PREGÃO ELETRÔNICO;DIAGNÓSTICOS SUL PRODUTOS HOSPITALARES LTDA;02/04/2020 00:00;06/05/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1300075
Centro de Detenção Provisória de Taiúva;18/2020;PREGÃO ELETRÔNICO;MAIS SÃO PAULO TRANSPORTES E COMÉRCIO LTDA;01/04/2020 00:00;06/05/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1400719
Hospital Geral de São Mateus;2020NE00632;PREGÃO ELETRÔNICO;DISTRICENTER DISTRIBUIDORA DE MEDICAMENTO;04/05/2020 00:00;06/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1403858
Instituto da Assistência Médica ao Servidor Público Estadual;113/2020;PREGÃO ELETRÔNICO;LABORSYS PRODS. E EQUIPAMENTOS LABORATORIAIS LTDA;30/03/2020 00:00;06/05/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1303623
Hospital Geral de São Mateus;2020NE00633;PREGÃO ELETRÔNICO;OTNI PHARMA MEDICAMENTOS EIRELI - ME;04/05/2020 00:00;06/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1403858
Hospital Geral de São Mateus;2020NE00634;PREGÃO ELETRÔNICO;PROATIVA HOSPITAALR EIRELI ;04/05/2020 00:00;06/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1403858
Instituto da Assistência Médica ao Servidor Público Estadual;133/2020;PREGÃO ELETRÔNICO;BECKMAN COULTER DO BRASIL COM. EIMP PROD LAB. LTDA;08/04/2020 00:00;06/05/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1321451
Hospital Geral de São Mateus;2020NE00635;PREGÃO ELETRÔNICO; DANIEL FERRARI ABRANTES - DISTR. DE MED;04/05/2020 00:00;06/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1403858
Centro de Detenção Provisória de Taiúva;24/2020;PREGÃO ELETRÔNICO;COMERCIAL TAQUARUSSU LTDA;02/04/2020 00:00;06/05/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1401443
Instituto da Assistência Médica ao Servidor Público Estadual;134/2020;PREGÃO ELETRÔNICO;SIEMENS HEALTHCARE DIAGNÓSTICOS S/A;08/04/2020 00:00;06/05/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1340299
Unicamp - Diretoria Geral da Administração;58/2020;PREGÃO PRESENCIAL;BIOMETRIX DIAGNÓSTICA LTDA;05/05/2020 00:00;06/05/2020 00:00;7;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1402109
Hospital Geral de São Mateus;2020NE00636;PREGÃO ELETRÔNICO;CHM COMERCIO DE MEDICAMENTOS EIRELI;04/05/2020 00:00;06/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1403479
Centro Regional de Administração de Guarulhos;23736-SAAC-0053/2016;PREGÃO ELETRÔNICO;Mille Comércio e Serviços de Eletricidade Ltda EPP;30/04/2020 00:00;06/05/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1083069
Centro Estadual de Educação Tecnológica Paula Souza;004/2019;PREGÃO ELETRÔNICO;Evoke Segurança Privada Ltda;02/04/2020 00:00;07/05/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1252351
Comando de  Policiamento do Interior 7- Sorocaba;54BPMI-028/42/2020;PREGÃO PRESENCIAL;J.FERNADES & V. FERNANDES LTDA;29/04/2020 00:00;08/05/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1321763
"Hospital Maternidade Interlagos - ""Waldemar Seyssel- Arrelia""";2020NE00293;PREGÃO ELETRÔNICO;CRISTÁLIA PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA;04/05/2020 00:00;07/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1403332
"Hospital Maternidade Interlagos - ""Waldemar Seyssel- Arrelia""";2020NE00294;PREGÃO ELETRÔNICO;DUPATRI HOSPITALAR COMÉRCIO IMP. E EXPORTAÇÃO LTDA;04/05/2020 00:00;07/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1403332
Comando de  Policiamento do Interior 7- Sorocaba;40BPMI-025/42/2020;PREGÃO PRESENCIAL;PARTS LUB DISTR E SERVIÇOS EIRELI EPP;27/04/2020 00:00;08/05/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1321763
Comando de  Policiamento do Interior 7- Sorocaba;50BPMI-036/42/2020;PREGÃO PRESENCIAL;W.J.M. AUTO MECANICA LTDA - ME;27/04/2020 00:00;08/05/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1321763
Hospital Regional de Assis;2020CT00509;PREGÃO ELETRÔNICO;G. S. JORGE JUNIOR - ME                  ;30/04/2020 00:00;07/05/2020 00:00;8;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1403739
Comando de  Policiamento do Interior 7- Sorocaba;22BPMI-035/42/2020;PREGÃO PRESENCIAL;J.FERNADES & V. FERNANDES LTDA;27/04/2020 00:00;08/05/2020 00:00;20;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1321763
Departamento de Suprimentos e Infraestrutura - Secr. da Fazenda e Planejamento;23673-SAAC-0133/2019;PREGÃO ELETRÔNICO;TAGARELINHA ESCOLA DE EDUCAÇÃO INFANTIL LTDA;06/05/2020 00:00;07/05/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1373726
Centro Regional de Administração de Guarulhos;23736-SAAC-0036/2018;PREGÃO ELETRÔNICO;SEVEN FIRE TERCEIRIZAÇÃO E SERVIÇOS LTDA. EPP;30/04/2020 00:00;07/05/2020 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1239034
Comando de Aviação da Polícia Militar João Negrão (CAvPM - João Negrão);CAvPM-004/420/2020;PREGÃO ELETRÔNICO;HBR AVIAÇÃO LTDA;17/04/2020 00:00;07/05/2020 00:00;60;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393811
Comando de Policiamento do Interior 9;CPI9-014/420/20;PREGÃO ELETRÔNICO;BGS ENGETEC MONTAGEM DE ESTRUTURAS E INTALAÇÃO IND;09/04/2020 00:00;08/05/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1402910
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT02046;PREGÃO ELETRÔNICO; BAXTER HOSPITALAR LTDA;06/05/2020 00:00;08/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1331559
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT02045;PREGÃO ELETRÔNICO;BAXTER HOSPITALAR LTDA;06/05/2020 00:00;08/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1331252
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT02044;PREGÃO ELETRÔNICO;BAXTER HOSPITALAR LTDA;06/05/2020 00:00;08/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1373790
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT02043;PREGÃO ELETRÔNICO; FARMARIN INDUSTRIA E COMERCIO LTDA;06/05/2020 00:00;08/05/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1332873
Coordenadoria de Unidades Prisionais da Região Noroeste;005/2018-CRN;PREGÃO ELETRÔNICO;TELEFÔNICA BRASIL S/A;07/08/2018 00:00;08/05/2020 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1251587
Centro de Vigilância Epidemiológica Prof. Alexandre Vranjac;43891;PREGÃO ELETRÔNICO;BRASITUR EVENTOS E TURISMO LTDA;27/04/2020 00:00;08/05/2020 00:00;249;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1400216
Coordenadoria de Unidades Prisionais da Região Noroeste;006/2018-CRN;PREGÃO ELETRÔNICO;TELEFÔNICA BRASIL S/A;07/08/2018 00:00;08/05/2020 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1251593
Coordenadoria de Unidades Prisionais da Região Noroeste;002/2018-CRN;PREGÃO ELETRÔNICO;TELEFÔNICA BRASIL S/A;01/03/2018 00:00;08/05/2020 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1210749
Fundação Professor Dr  Manuel Pedro Pimentel;01.0015/20P0186/20;PREGÃO ELETRÔNICO;SUPERMERCADO MORADA DO SOL EIRELI EPP;28/04/2020 00:00;08/05/2020 00:00;180;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1402989
Penitenciária Zwinglio Ferreira de Presidente Venceslau;095/2019;CHAMADA PÚBLICA;COOP. PROD. IND. COMER. AGRO. DOS ASS. R. NOROESTE;11/09/2019 00:00;08/05/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1349467
Hospital de Custódia e Tratamento Psiquiátrico Prof André Teixeira Lima;2020CT000035;CONVITE;GIDAL ENGENHARIASERVICOS E DISTRIBUICAO EIREL;07/05/2020 00:00;08/05/2020 00:00;8;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1406994
Secretaria Estadual da Saúde - Gabinete do Secretário;51/2020;PREGÃO ELETRÔNICO;METALIC MEDICAL PRODUTOS HOSPITALARES LTDA - EPP;08/04/2020 00:00;08/05/2020 00:00;60;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1310950
Departamento Aeroviário do Estado de São Paulo;004/2015;TOMADA DE PREÇOS;Reusa Conservação Ambiental Ltda-EPP;27/04/2020 00:00;08/05/2020 00:00;10;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=960301
Universidade Estadual Paulista - Reitoria;44075;INEXIGIBILIDADE;SCANSYSTEM LTDA;04/05/2020 00:00;08/05/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1409484
